HOG,LBP1,LBP2,Contrast,Dissimilarity,Homogeneity,Energy,Correlation,ASM,f10,Target
-0.004943223, 252,0,150.9832243,187.8070691,0.087081073,134.0863806,0.101063868,40,226,1
-0.005059594, 262.3333333,0,151.9832243,203.4025533,0.087031382,144.4397226,0.115944622,48,230,1
-0.008040928, 0,0,152.9832243,168.6716945,0.085109773,149.0759411,0.112057361,40,230,1
-0.008011819, 221.3333333,0,153.9832243,166.1082162,0.084476527,145.855078,0.117796357,45,225,1
-0.011188967, 208.6666667,0,154.9832243,141.0803498,0.079700415,162.743925,0.081935852,101,235,1
-0.007976947, 204.6666667,0,155.9832243,143.5187729,0.082346463,143.2437215,0.091239641,77,219,1
-0.004792141, 228,0,156.9832243,178.2011002,0.087151611,130.9715047,0.091663454,55,206,1
-0.011315959, 241,0,157.9832243,176.6292438,0.081075541,174.2363002,0.110746388,79,253,1
-0.008867749, 227,0,158.9832243,184.8743842,0.084419406,157.5378552,0.096932698,37,245,1
-0.004486061, 0,0,159.9832243,149.3328891,0.086173097,129.2520343,0.139004331,42,217,1
-0.012030247, 231,0,160.9832243,168.0888547,0.085934251,164.3181192,0.120304905,52,251,1
-0.011817241, 233,0,161.9832243,170.0236296,0.083735659,165.9891865,0.076267459,67,250,1
-0.006391612, 275.6666667,0,162.9832243,201.3444216,0.092072453,150.0708798,0.096700776,58,234,0
-0.007102171, 238.6666667,0,151.9832243,172.4838348,0.087575417,148.169202,0.11617397,67,225,0
-0.00250018,  479.3333333,0,152.9832243,362.2330102,0.087979469,132.7703257,0.024556941,64,200,0
-0.002123644, 513.6666667,0,153.9832243,374.3497603,0.088301613,129.9867227,0.016546163,64,197,0
-0.005000426, 242.6666667,0,154.9832243,183.3728412,0.090506648,127.6232413,0.071932119,37,204,0
-0.004412106, 243,0,155.9832243,175.5832682,0.088822964,128.2936804,0.094120553,52,208,0
-0.003581722, 0,0,156.9832243,207.7212151,0.090349885,126.6805204,0.074604072,45,203,0
-0.009031693, 257.6666667,0,157.9832243,185.3682077,0.088318799,160.374457,0.058714191,92,226,0
-0.008464614, 260,0,158.9832243,192.0857711,0.086962031,162.5103253,0.058282148,98,237,0
-0.006780378, 0,0,159.9832243,166.81137,0.085202232,149.9328044,0.094044111,75,228,0
-0.006380355, 295,0,160.9832243,211.0556131,0.083493378,153.3579341,0.064952701,72,219,0
-0.00506403, 271.6666667,0,161.9832243,198.0884731,0.088465893,137.9456251,0.066096377,81,210,0
-0.005851406, 297,0,162.9832243,218.5035321,0.089842145,149.3169855,0.052591693,78,212,0
-0.005780906, 283,0,163.9832243,209.3044007,0.09487945,147.4483254,0.12288604,55,219,0
-0.003983013, 296.6666667,0,201.149891,230.6354095,0.096235541,133.7256782,0.098710008,48,199,0
-0.015731315, 241,0,0,177.2054444,0.090589504,192.3416022,0.12571594,104,254,0
-0.012317679, 250,0,0,175.492524,0.091895754,178.8550722,0.063214488,114,242,0
-0.014108722, 257.3333333,0,0,184.1489545,0.085403092,183.3772157,0.105620651,71,250,0
-0.010840897, 275,0,153.649891,195.6589377,0.087923651,173.0862113,0.06402382,88,238,0
-0.003560499, 480.3333333,0,106.9832243,349.5238106,0.085318488,151.6421322,0.02454405,76,223,0
-0.003498566, 529.6666667,0,0,387.5502356,0.086475977,152.5745369,0.015236705,71,218,0
-0.002939121, 516.3333333,0,115.649891,372.7308653,0.089397824,142.4962166,0.012358018,50,214,0
-0.002927117, 461.6666667,0,332.649891,343.1851923,0.089114115,141.2346594,0.019603681,53,226,0
-0.001762952, 0,0,300.9832243,381.1834756,0.090876791,122.9003671,0.035805825,32,198,0
-0.002586504, 490.3333333,0,347.9832243,347.3429319,0.089483173,136.1642648,0.025600378,56,224,0
